preset,Act,cusp_count,cell_count_plateau,regime
HUMPPA_LITERAL,0.1,7,19,plateau
HUMPPA_LITERAL,0.2,7,19,plateau
HUMPPA_LITERAL,0.3,7,19,plateau
HUMPPA_LITERAL,0.4,7,19,plateau
HUMPPA_LITERAL,0.5,7,19,plateau
HUMPPA_LITERAL,0.6,7,19,plateau
HUMPPA_LITERAL,0.7,7,19,plateau
HUMPPA_LITERAL,0.8,7,19,plateau
HUMPPA_LITERAL,0.9,7,19,plateau
HUMPPA_LITERAL,1,7,19,plateau
HUMPPA_LITERAL,1.1,7,19,plateau
HUMPPA_LITERAL,1.2,7,19,plateau
HUMPPA_LITERAL,1.3,7,19,plateau
HUMPPA_LITERAL,1.4,7,19,plateau
HUMPPA_LITERAL,1.5,7,19,plateau
HUMPPA_LITERAL,1.6,7,19,plateau
LEGACY_FORTRAN,0.1,7,19,plateau
LEGACY_FORTRAN,0.2,7,19,plateau
LEGACY_FORTRAN,0.3,7,19,plateau
LEGACY_FORTRAN,0.4,7,19,plateau
LEGACY_FORTRAN,0.5,7,19,plateau
LEGACY_FORTRAN,0.6,7,19,plateau
LEGACY_FORTRAN,0.7,7,19,plateau
LEGACY_FORTRAN,0.8,7,19,plateau
LEGACY_FORTRAN,0.9,7,19,plateau
LEGACY_FORTRAN,1,7,19,plateau
LEGACY_FORTRAN,1.1,7,19,plateau
LEGACY_FORTRAN,1.2,7,19,plateau
LEGACY_FORTRAN,1.3,7,19,plateau
LEGACY_FORTRAN,1.4,7,19,plateau
LEGACY_FORTRAN,1.5,7,19,plateau
LEGACY_FORTRAN,1.6,7,19,plateau
PAPER_2010,0.1,19,19,plateau
PAPER_2010,0.2,19,19,plateau
PAPER_2010,0.3,19,19,plateau
PAPER_2010,0.4,19,19,plateau
PAPER_2010,0.5,19,19,plateau
PAPER_2010,0.6,19,19,plateau
PAPER_2010,0.7,19,19,plateau
PAPER_2010,0.8,19,19,plateau
PAPER_2010,0.9,19,19,plateau
PAPER_2010,1,19,19,plateau
PAPER_2010,1.1,19,19,plateau
PAPER_2010,1.2,19,19,plateau
PAPER_2010,1.3,19,19,plateau
PAPER_2010,1.4,19,19,plateau
PAPER_2010,1.5,19,19,plateau
PAPER_2010,1.6,19,19,plateau
PAPER_LITERAL_2010,0.1,0,19,plateau
PAPER_LITERAL_2010,0.2,0,19,plateau
PAPER_LITERAL_2010,0.3,0,19,plateau
PAPER_LITERAL_2010,0.4,0,19,plateau
PAPER_LITERAL_2010,0.5,0,19,plateau
PAPER_LITERAL_2010,0.6,0,19,plateau
PAPER_LITERAL_2010,0.7,0,19,plateau
PAPER_LITERAL_2010,0.8,0,19,plateau
PAPER_LITERAL_2010,0.9,0,19,plateau
PAPER_LITERAL_2010,1,0,19,plateau
PAPER_LITERAL_2010,1.1,0,19,plateau
PAPER_LITERAL_2010,1.2,0,19,plateau
PAPER_LITERAL_2010,1.3,0,19,plateau
PAPER_LITERAL_2010,1.4,0,19,plateau
PAPER_LITERAL_2010,1.5,0,19,plateau
PAPER_LITERAL_2010,1.6,0,19,plateau
PATH_B_DEFAULT,0.1,19,19,plateau
PATH_B_DEFAULT,0.2,19,19,plateau
PATH_B_DEFAULT,0.3,19,19,plateau
PATH_B_DEFAULT,0.4,19,19,plateau
PATH_B_DEFAULT,0.5,19,19,plateau
PATH_B_DEFAULT,0.6,19,19,plateau
PATH_B_DEFAULT,0.7,19,19,plateau
PATH_B_DEFAULT,0.8,19,19,plateau
PATH_B_DEFAULT,0.9,19,19,plateau
PATH_B_DEFAULT,1,19,19,plateau
PATH_B_DEFAULT,1.1,19,19,plateau
PATH_B_DEFAULT,1.2,19,19,plateau
PATH_B_DEFAULT,1.3,19,19,plateau
PATH_B_DEFAULT,1.4,19,19,plateau
PATH_B_DEFAULT,1.5,19,19,plateau
PATH_B_DEFAULT,1.6,19,19,plateau
